Scholarship_Name,Scholarship_Organization,Scholarship_Type,Funding_level,Sponsorship Details,Application form,Application opening month (annual),Application start date,Application deadline,Scholarship slots,For Vietnamese students,Object limitation,List of restricted subjects (if any),Department restrictions,List of specific industries/groups,Required qualifications,Minimum GPA,Ranking requirements / field of study,Required experience,Competencies & Achievements (requirements.competencies),Scholarship renewal conditions,Required documents,Application process,Scholarship link (URL),Notes ,Annual (Yes/No/Unknown),,,,
Colombia Government Scholarship (for foreigners),ICETEX (Colombia),Government,Free tuition + living allowance + insurance + airfare (by call),Becas Colombia para Extranjeros: has Master's/Spanish courses,ICETEX Gate,3–6,According to call,According to call,Not published yet,yes,Citizens of countries (other than Colombia),—,Limited,By school/program category,Bachelor's degree (or equivalent),Not stated,As per school/ICETEX requirements,—,Academics & Motivation,According to call,Online application + documents,ICETEX review & announcement,https://portal.icetex.gov.co/Portal/Home/HomeEstudiante/becas-exterior/becas-para-extranjeros,ICETEX official website,yes,,,,
Thailand International Postgraduate Programme (TIPP),Thailand International Cooperation Agency (TICA),Government,Full: tuition + living allowance + airfare + insurance,According to the **subject/course** of the Thai ministry; candidates are nominated/recommended by state agencies,TICA Portal + Agency Nomination,1–3,According to call,According to call,Not published yet,yes,Priority is given to civil servants/public employees assigned by the agency.,—,yes,According to the development theme announced by TICA,Bachelor's degree (or equivalent),Not stated,According to each course criteria,Work experience,"Public service capacity, development",By invitation,TICA profile + nomination letter,Submit through the agency → TICA review,https://tica-thaigov.mfa.go.th/en/page/tipp,Development orientation program,yes,,,,
Kemitraan Negara Berkembang (KNB) Scholarship,Indonesia – Kemdikbudristek,Government,Full: tuition + monthly allowance + airfare + insurance,Mainly Master/PhD; some schools have language preparatory courses,KNB Portal + Embassy introduction letter,2–5,According to call,According to call,Not published yet,yes,Citizens of developing countries (including Vietnam),—,yes,By KNB school/major list,Bachelor's degree (or equivalent),Not stated,According to annual call,—,Academics & Motivation,According to the regulations,Online application + letter of recommendation,According to call,https://knb.kemdiktisaintek.go.id/,KNB Official Website,yes,,,,
Australia Research Training Program (RTP) Scholarships,Australian Government (through universities),Government,Tuition fee exemption (RTP Fees Offset) + **stipend** (level announced by the University),Apply for **Master by Research/PhD**; submit at **university** (no common portal),Application at the receiving university,Year-round (depending on university),By school,According to school,Not published yet,yes,International Students Master by Research/PhD,—,yes,Research fields by university,Bachelor's degree (or equivalent),Not stated,According to HDR admission standards,Study,Research achievements,According to university conditions,HDR profile + RTP form,Submit to University; University allocates RTP,https://www.education.gov.au/research-block-grants/research-training-program,Only **research Master/PhD**,yes,,,,
Azerbaijan Government Scholarship (Educational Grant for OIC/NAM),Government of Azerbaijan (MFA – AIDA),Government,Tuition free + living allowance + airfare + insurance,For citizens of **OIC/NAM** countries; have Master/PhD,Nominated by government agency + submitted according to instructions,1–6,According to call,According to call,Not published yet,yes,OIC/NAM Citizens,List of OIC/NAM countries,,According to the list of universities in Azerbaijan,Bachelor's degree (or equivalent),Not stated,As per program requirements,—,Academics & Motivation,According to the regulations,Application form MFA/AIDA,Submit through nominating agency → AIDA review,https://aida.mfa.gov.az/en/education,AIDA page – government scholarship program,yes,,,,
National Scholarship Programme of the Slovak Republic (NSP),Slovak Republic – SAIA,Government,Living/internship/teaching allowance; with Master's usually in the form of **exchange** (non-degree),Mainly supports **short-term exchange**; applicants apply individually,NSP Gateway,2–4 & 9–10,February 15–April 30 or September 1–October 31,According to call,Not published yet,yes,Foreign citizens,—,Limited,Exchange/visiting (not full Master),Bachelor's degree (or equivalent),Not stated,Invited/recognized by the host school,—,Academic ability; academic plan,According to the regulations,Application + invitation letter/receipt,Submit online → SAIA review,https://www.scholarships.sk/,Correct form of exchange/visiting,yes,,,,
Beijing Government Scholarship (BGS – Master),Beijing Municipal Government (through universities),Government,Tuition exemption/reduction (full/partial) + insurance,Apply through universities in Beijing (PKU/BNU…); Master's maximum 2–3 years,Application through the receiving school,3–6,According to school call,According to school call,Not published yet,yes,Non-Chinese international students,—,,According to the major of the receiving school,Bachelor's degree (or equivalent),Not stated,According to university criteria,—,Academics,By invitation,School application + BGS form,By school,https://english.beijing.gov.cn/studyinginbeijing/scholarshipapplications/,Beijing Municipal Government Website (English),yes,,,,
Romanian Government Scholarship (MFA/Study in Romania),Romania – MFA,Government,Tuition-free + accommodation + level-based allowance; study in **Romanian** (with preparatory year),Have Master/PhD; submit on Study in Romania portal,Online portal,1–3,According to call,According to call,Not published yet,yes,Non-EU citizens,—,,According to annual targets,Bachelor's degree (or equivalent),Not stated,Average score ≥7/10 or **Good** rating,—,Academics & Motivation,According to the regulations,Portal + profile,Online → review → notification,https://scholarships.studyinromania.gov.ro/,Study in Romanian is required except in exceptional circumstances.,yes,,,,
Swedish Institute Scholarships for Global Professionals (SISGP),Swedish Institute,Government,"Full: tuition + **SEK 12,000/month** + insurance + airfare + SI network",**Master’s** only; work experience & leadership required,SI application + UniversityAdmissions.se profile,1–2,According to call SI,According to call SI,~350–400/year,yes,Citizens of countries in the SI list,List of countries by year,yes,According to the eligible Master category,Bachelor's degree (or equivalent),Not stated,"Minimum work experience (usually ≥3,000 hours)",Work experience,"Leadership, sustainability, social impact",No renewal (1–2 years per program),SI application + supporting documents,According to SI & UA.se calendar,https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/,SISGP Official Website,yes,,,,
Global Korea Scholarship (GKS),NIIED (Republic of Korea),Government,Full: tuition + living allowance + dormitory + airfare + insurance,**Embassy** and **University** lines; have Master/PhD + 1 year of Korean (regular),Online/Paper Application + Nomination,2–4,According to NIIED/Embassy call,According to call,"~>1,000 (whole program)",yes,Citizens of countries (including Vietnam),National & University Targets,,According to NIIED school catalog,Bachelor's degree (or equivalent),Not stated,According to NIIED/University criteria,—,Academics & Motivation,According to the regulations,Application + track record,Embassy/University review → NIIED approval,https://www.studyinkorea.go.kr/ko/scholarship/GksGuide.do,GKS/NIIED Official Portal,yes,,,,
Czech Government Scholarship (Developing Countries),Czech Republic – MEYS,Government,"Tuition waiver + allowance **CZK 12,000–14,000/month** (depending on level)",Mainly Master/PhD (taught in Czech; with preparatory course),Online portal,4–9,According to call,**September 30** (for next school year),Hundreds,yes,Citizens of developing countries (including Vietnam),Priority list according to MEYS,Limited,By priority industry,Bachelor's degree (or equivalent),Not stated,According to MEYS criteria & school,—,Academics/Potential,According to the regulations,Online application + documents,According to call,https://msmt.gov.cz/eu-and-international-affairs/government-scholarships-developing-countries,MEYS official website,yes,,,,
Qatar Scholarships (multi-partner),Qatar Scholarships (EAA & Partner Universities),Government,Tuition waiver + allowance (depending on university/program),Some schools have Master's degrees; list by year,Application through partner program/university,3–6,In batches,In batches,Not published yet,yes,Citizens of developing countries,By program,yes,According to the list of majors of each university,Bachelor's degree (or equivalent),Not stated,According to each university's criteria,—,Academics & Motivation,By program,University profile + scholarship form,By category,https://www.qatarscholarships.qa/,QS Program Page,yes,,,,
Kazakhstan Government Scholarship (State grants/Bolashak – tham chiếu),Kazakhstan – IPC/ENIC,Government,Tuition waiver + allowance (depending on scheme),Primarily for **Kazakhstani citizens**; opportunities for international students vary by year,Online application,6–8,According to call,According to call,Not published yet,Unknown,Priority given to Kazakhstan citizens,—,Limited,According to scheme/University,Bachelor's degree (or equivalent),Not stated,According to local regulations,—,Academics,According to the regulations,Online application,According to call,https://enic-kazakhstan.edu.kz/en/post/94,According to current information; need to check specific call,Unknown,,,,
Russian Government Scholarship (Quota/Open Doors),Rossotrudnichestvo & Global Universities,Government,Free tuition + dormitory + basic allowance (depending on school),UG/Master/PhD via **quota** representative Rossotrudnichestvo; **Open Doors** mainly PG,Online application via representative/quota,10–2,By country/representative,According to the representative,"~15,000 (quota)",yes,International citizens (including Vietnamese),National indicators,,According to Russian school directory,Bachelor's degree (or equivalent),Not stated,According to representative criteria & school,—,Academics,According to the regulations,Application through representative/portal,According to call,https://od.globaluni.ru/,UG over quota; Open Doors leans towards PG,yes,,,,
Manaaki New Zealand Scholarships,New Zealand Ministry of Foreign Affairs and Trade (MFAT),Government,Full: tuition + living expenses + round-trip airfare + insurance + settlement support,For citizens of development partner countries; have a Master's degree (taught/research); priority given to development fields; requires a 2-year commitment to return home,Apply online via Manaaki portal,1–2,According to call,According to call,Not published yet,yes,Citizens of partner countries (including Vietnam depending on the year),List of countries by call,Limited,"Development sectors (sustainability, economics, health, education…)",Bachelor's degree (or equivalent),Not stated,Eligible for admission to NZ + English IELTS/TOEFL standard,≥1 year experience (preferred),"Academics, leadership, commitment to development",According to MFAT regulations,Online application + transcript + essay + language proof,Apply via Manaaki portal → interview → offer,https://www.nzscholarships.govt.nz/,“Check eligibility every year”,yes,,,,
Orange Knowledge Programme (OKP),Nuffic (Netherlands),Government,Short-term or full tuition + living expenses funding for Masters,For professionals from 55 countries working in development; program **ends 2024**,Application through Dutch universities,10–2,According to call,According to call,0,,For priority country experts only,List of countries,Limited,"By sustainable development sector (water, food, education…)",Bachelor's degree + work experience (candidates currently working/sent by the agency),Not stated,As per program requirements,≥2 years of working experience,Leadership and organizational capacity,No longer valid,—,—,https://www.studyinnl.org/scholarships/orange-knowledge-programme,Ended 2024,,,,,
VLIR-UOS Scholarships (ICP Master),VLIR-UOS (Flemish Universities Belgium),Government,Full: tuition + living expenses + insurance + airfare,For citizens of 29 partner countries; support for development-related Master's studies in Belgium,Application through ICP school,10–2,According to call,According to call,~100/year,Unknown,Citizens of partner countries (may not include Vietnam),List of countries published by VLIR-UOS,yes,According to the ICP Master program,Bachelor's degree (or equivalent),Not stated,According to the criteria of each program,Development experience (preferred),"Academics, commitment to development",According to the host school,Application + transcript + essay,Submit at school → VLIR-UOS review,https://www.vliruos.be/en/scholarships/6,Check nationality eligibility,yes,,,,
ARES Scholarships (Belgium),ARES – Académie de Recherche et d’Enseignement Supérieur,Government,Full: tuition + living expenses + insurance + airfare,Master's and Short Course Scholarships for Citizens of Developing Countries; Limited Country List,ARES Online Application,9–1,According to call,According to call,~200/year,Unknown,Priority country citizens only (VN may not qualify),ARES Country List,Limited,According to the ARES Master program catalog,Bachelor (ICP Master) **/ Master (Advanced Master – if choosing AM track)**,Not stated,As per program requirements,Work experience (preferred),Academics & Development Motivation,According to the regulations,Online application + documents,Submit on ARES portal,https://www.ares-ac.be/en/cooperation-au-developpement/masters-and-training-courses,Check eligibility every year,yes,,,,
Islamic Development Bank (IsDB) Scholarship Program,Islamic Development Bank (IsDB),Government,Full: tuition + living expenses + insurance + airfare,For citizens of IsDB member countries or Muslim communities; with a Master's degree; priority given to development sectors,IsDB Online Application,12–2,According to call,According to call,Not published yet,Unknown,Citizens of IsDB member countries or Muslim communities,IsDB Member List,yes,"By development sector (Economics, Health, STEM…)",Bachelor's degree (or equivalent),Not stated,As per program requirements,Experience (preferred),"Academics, leadership, social service",According to IsDB,Online application + documents,Submit via IsDB portal,https://www.isdb.org/scholarships,Need to check Vietnam eligibility,yes,,,,
Aga Khan Foundation International Scholarship,Aga Khan Foundation (AKF),Foundation / Organization,50% grant + 50% loan (for tuition & living expenses),"Only for citizens in countries where AKF operates (Asia, Africa) – not open to Vietnam",Application through AKF national office,3–5,According to call,According to call,Not published yet,,Only countries in the AKF network,List of AKF countries,Limited,According to the major accepted at the partner university,Bachelor's degree (or equivalent),Not stated,As per program requirements,Social experience or activities,Academic & Financial Need,According to AKF agreement,Application + financial proof + references,Through your local AKF office,https://www.akdn.org/our-agencies/aga-khan-foundation/international-scholarship-programme,50% grant / 50% loan,yes,,,,
Rotary Peace Fellowship,Rotary International,Foundation / Organization,Full: tuition + accommodation + airfare + internship,"For candidates with 3–5 years of peace/development experience; Master’s at Peace Centers (Duke, Bradford, Queensland, ICU…)",Apply online through Rotary District,2–5,According to call,According to call,~130/year,yes,All nationalities,—,yes,"Peace, development, public policy",Bachelor's degree + ≥2 years of full-time work experience,Not stated,Suitable for field and experience,≥3 years of experience,"Leadership, community service, peace",According to the course duration,Application + references + essay,Rotary District → Peace Centers review,https://www.rotary.org/en/our-programs/peace-fellowships,Highly competitive,yes,,,,
Joint Japan/World Bank Graduate Scholarship (JJ/WBGSP),World Bank (JJ/WBGSP),Government,Full: tuition + airfare + living allowance + insurance,For citizens of WB member countries (including Vietnam); Master's at designated partner universities,JJ/WBGSP Online Application,1–2 & 3–5,In batch 1/2,In batch 1/2,~150/year,yes,Citizens of WB member countries,List of partner programs,yes,By partner programs category,Bachelor's degree (or equivalent),Not stated,≥3 years of full-time work experience,Work experience,"Academics, commitment to development",According to call,Application + offer + proof of experience,Online → WB review,https://www.worldbank.org/en/programs/scholarships,There are 2 batches every year,yes,,,,Có
Asian Development Bank–Japan Scholarship (ADB-JSP),Asian Development Bank (ADB) & Government of Japan,Government,Full: tuition + airfare + living allowance + insurance,For ADB borrowing members (including VN); Master's at partner institutions,Application through partner school,1–4,According to call,According to call,~300/year,yes,ADB citizen borrowers,List of partner institutions,yes,"By ADB priority sector (economics, management, engineering)",Bachelor's degree (or equivalent),Not stated,Work experience ≥ 2 years after university,Development experience,Leadership and development,According to the lock period,Single field + ADB-JSP form,Submit through school → ADB review,https://www.adb.org/work-with-us/careers/japan-scholarship-program,List of partners updated annually,yes,,,,
Mastercard Foundation Scholars Program,Mastercard Foundation,Foundation / Organization,Full: tuition + living expenses + airfare + comprehensive support,For African students through university partners; **not open to VN**,Application at partner school,According to partners,According to partners,According to partners,Not published yet,,Mainly Africa,Mastercard Partner List,,By industry of partner school,Bachelor's degree (or equivalent),Not stated,According to partner school standards,—,"Academics, leadership, community",By school,Application + admission documents,By school,https://mastercardfdn.org/scholars/,Check partner schools,yes,,,,
Commonwealth Master’s Scholarship (UK),UK FCDO / CSC,Government,Full: tuition + airfare + living expenses,Commonwealth citizens only (with VN → Not in the bloc),CSC online application,9–10,According to call,According to call,~700/year,,Commonwealth citizens only,List of countries,yes,UK priority development industry,Bachelor's degree (or equivalent),Not stated,According to CSC criteria,Development experience,"Leadership, development impact",According to the regulations,Application + reference + nomination,Online → CSC,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/,Not applicable to Vietnam,yes,,,,
Rhodes Scholarship (Global),Rhodes Trust (Oxford),Foundation / Organization,Full-ride: Oxford tuition + stipend + airfare,There are Global Scholarships for countries without their own constituency (Vietnam is eligible),Rhodes Online Application,6–8,According to call,According to call,~100/year,yes,All nationalities,Constituency + Global Category,Limited,Masters at Oxford,Bachelor's degree (or equivalent),Not stated,Top 1–2% of academic achievement,Social/Leadership Activities,"Intelligence, leadership, personality",By deadline,Application + essay + interview,Submit online,https://www.rhodeshouse.ox.ac.uk/scholarships/apply/,Highly competitive,yes,,,,
Gates Cambridge Scholarship,University of Cambridge & Gates Trust,University,Full-ride: full fees + stipend + airfare,For all nationalities outside the UK; Master's at Cambridge,Cambridge application form + Gates form,9–12,According to the Cambridge cycle,According to the cycle,~80/year,yes,All nationalities outside the UK,—,Limited,According to the qualifying program,Bachelor's degree (or equivalent),Not stated,Excellent academics & strong referees,—,"Academics, leadership, service",By deadline,Cambridge application + Gates essay,Online → panel review,https://www.gatescambridge.org/apply/,Other deadlines by department,yes,,,,
Clarendon Scholarship (Oxford),University of Oxford,University,Full fees + stipend,Automatic consideration for all graduate (Master/PhD) applicants,Automatic review,9–12,According to the Oxford cycle,According to the cycle,~200/year,yes,All nationalities,—,,Every Master at Oxford,Bachelor's degree (or equivalent),Not stated,Excellent profile,—,Academic excellence,By course,No prescription required, , , , ,,,,
ETH Zurich Excellence Scholarship & Opportunity Programme,ETH Zurich,University,100% tuition fee exemption + living allowance (level depends on each faculty),ESOP for excellent Master candidates; tuition support package + living expenses; very competitive,Online application with ETH admission documents,10–12,According to ETH admission cycle,According to ETH admission cycle,Not published yet,yes,International students applying for Master's programs at ETH,—,Limited,By Eligible Master's Category,Bachelor's degree (or equivalent),Not stated,Top profile; strong recommendation letter; clear motivation,—,Academic excellence; research/innovation potential,According to the lock duration; maintain the standard,ETH application + essay + recommendation letter,Apply for Master program → submit ESOP on eApply,https://ethz.ch/en/studies/financial/scholarships/excellence-scholarship.html,Extremely competitive; open every year,yes,,,,
Weidenfeld-Hoffmann Scholarships (Oxford),University of Oxford & Weidenfeld-Hoffmann Trust,University,Full fees + living stipend + leadership development support,For Masters at Oxford with a leadership & development orientation; scholarship application required during application process,Online application (via Oxford Profile + scholarship form/category),9–12,According to the Oxford cycle,According to the Oxford cycle,Not published yet,yes,All nationalities (except some course restrictions),—,Limited,By list of eligible industries (mainly related to development/policy/law…),Bachelor's degree (or equivalent),Not stated,Excellent academic record; commitment to community service,Operational experience (preferred),"Leadership, social impact, mission-aligned",By invitation,Oxford application + scholarship tick + additional documents,Submit to Oxford → WHT board review,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/weidenfeld-hoffmann-scholarships-and-leadership-programme,Full package + leadership program,yes,,,,
AAUW International Fellowships (for women),AAUW,Foundation / Organization,"US$20,000–50,000 (depending on level; Master ~US$20,000)",Open only to **female** non-US citizens/PR; studying **masters/PhD** at a US campus,Online application,8–11,According to call,According to call,"~3,000 (total fund/year)",yes,Female only; not US citizen/PR,—,,All Master's programs at US campuses,Bachelor's degree (or equivalent),Not stated,Enrolled in an accredited program,—,"Academics, leadership, social impact",By sponsorship duration,Application + degree + proof of admission/finances,Submit online via AAUW portal,https://www.aauw.org/resources/programs/fellowships-grants/current-opportunities/international/,Female only; very competitive,yes,,,,
PEO International Peace Scholarship (for women),PEO International,Foundation / Organization,"Maximum **US$12,500/year** (not fully funded)",For **women** of non-US/Canadian nationality studying for a **master's/PhD** in the US/Canada; additional proof of financial resources required,Online application + Chapter contact,8–12,According to call,According to call,Not published yet,yes,"Female only, non-US/Canadian PR",—,,All Master's programs at US/Canada campuses,Bachelor's degree (or equivalent),Not stated,Have been accepted into an eligible program,—,Academics; financial need; potential,According to PEO regulations,Application + admission letter + financial proof,Apply online → Chapter interview (if any),https://www.peointernational.org/peo-international-peace-scholarship-ips,Not including online learning/settlement,yes,,,,
Inlaks Shivdasani Foundation Scholarships,Inlaks Shivdasani Foundation,Foundation / Organization,"Maximum **US$100,000** (Master)",Only for **Indian citizens**; funding for masters at top universities in US/UK/Europe (some **non-funded** majors like Engineering/CS are often restricted),Online application + interview,1–4,According to call,According to call,Not published yet,,Only Indian citizens residing in India,—,Limited,Except for some technical/business fields (see list),Bachelor's degree (or equivalent),Not stated,Strong academic achievement/portfolio,Experience/portfolio (art/design industry),Academics,According to the regulations,Application + portfolio + multi-round interview,Apply online → interview,https://www.inlaksfoundation.org/scholarships/,Not applicable for Vietnamese applicants,yes,,,,
SEARCA Graduate Scholarship,SEARCA (SEAMEO),Foundation / Organization,Full: tuition + living expenses + airfare + research,For **Southeast Asian** citizens (including **Vietnam**) studying **Master/PhD** in **agriculture/rural development** at partner universities,Application through SEARCA/Partner University,9–1,According to call,According to call,Not published yet,yes,ASEAN citizens only,ASEAN Member States,yes,"Agriculture, food, rural development…",Bachelor's degree (or equivalent),Not stated,Upon request of University/SEARCA,Development experience (preferred),Academics,On schedule,Application + outline + recommendation letter,SEARCA/University review → notice,https://www.searca.org/scholarship,Prioritize food security topics,yes,,Có,,
Brazil PEC-PG Graduate Scholarship Program,Government of Brazil (CAPES/MRE),Government,Free tuition and living expenses (depending on the call),The former PEC-PG programme was for **Master's/PhD** for citizens of developing countries; recent implementation status **changed/discontinued**,Application through the Embassy of Brazil/CAPES,4–7,According to call,According to call,Not published yet,Unknown,Citizens of developing countries,—,Limited,According to the list of schools Brazil accepts,Bachelor's degree (or equivalent),Not stated,As required by CAPES/University,—,Academics,According to call,Application + diplomatic documents + invitation letter (if required),Embassy/Capac review,https://www.gov.br/capes/pt-br,Program may be suspended; check current year,Unknown,,,,
Mexican Government Scholarship (AMEXCID),AMEXCID (Secretaría de Relaciones Exteriores – Mexico),Government,Full: tuition + living expenses + insurance + airfare,**AMEXCID**'s **Excellence Scholarship for Foreigners** program is open to Masters at Mexican campuses,AMEXCID Online Application,5–7,According to call,According to call,Not published yet,yes,Citizens of eligible countries (including Vietnam),—,yes,According to the list of programs/receiving universities,Bachelor's degree (or equivalent),Not stated,As required by University/AMEXCID,—,Academics & Motivation,By lock duration,Application + letter of acceptance/pre-acceptance,Submit on AMEXCID system → review,https://www.gob.mx/amexcid,Check out “Becas de Excelencia”,yes,,,,
Austrian Government (ADC) Scholarships,Austrian Development Cooperation (ADC) / OeAD,Government,Full/partial: tuition + living expenses + insurance + airfare (depending on the program),"Some scholarships are **development-oriented** (e.g. through **APPEAR**, **Ernst Mach – ASEA-UNINET**…); nationality/field criteria are **different**",Application through partner program/university,10–3,According to call,According to call,Not published yet,Unknown,According to each ADC/OeAD program,List of countries/partners by program,Limited,"By topic: development, science, technology",Bachelor's degree (or equivalent),Not stated,According to program criteria,—,Academics & Development Cooperation,According to the program,Application + documents according to form,Submit through the program portal,https://www.oread.at/en/to-austria/grants-and-scholarships,Check each scheme (APPEAR/Ernst Mach…),yes,,,,
ICCR Scholarships (Indian Council for Cultural Relations),Indian Council for Cultural Relations (A2A),Government,Free tuition + living expenses + dormitory + insurance (depending on school),Have **Master**; apply through **A2A** portal and through Indian Embassy; many schemes,A2A ICCR Gate,2–4,Around February 20,According to call,640 slots (reference according to scheme),yes,Citizens of countries (including Vietnam),—,,According to the list of schools/majors receiving,Bachelor's degree (or equivalent),Not stated,According to university admission criteria,—,Academics,According to the regulations,Sign up for A2A + profile,Embassy confirmation → ICCR review,https://a2ascholarships.iccr.gov.in/,Check the annual target,yes,,,,
