Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),
Wellcome Trust Four-year PhD Programmes,Wellcome (qua các cơ sở chủ trì),Quỹ / Tổ chức,"Học phí + stipend; mức theo từng cơ sở (ví dụ Sanger ~£25,270 năm 1, tăng dần)",Tuyển theo trường/viện chủ trì,Nộp trực tiếp cho chương trình chủ trì,Theo từng cơ sở,Chưa rõ,Chưa rõ,Không nêu,Có,Mở toàn cầu,Không,Theo lĩnh vực chương trình,PhD 4 năm tại cơ sở chủ trì,Cử nhân/ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,"Học thuật xuất sắc, tiềm năng nghiên cứu",Theo cơ sở chủ trì,HS online + phỏng vấn,Nộp qua trang chương trình,https://wellcome.org/research-funding/schemes/four-year-phd-studentships-science-closed,"Scheme trung ương đánh dấu ‘closed’, nhưng các programme vẫn tuyển qua cơ sở (vd. Sanger)",Có,
DAAD Doctoral Programmes in Germany (Research Grants),DAAD (Germany),Chính phủ,Stipend hàng tháng + BHYT + hỗ trợ di chuyển (mức theo call),Hỗ trợ làm PhD toàn phần hoặc giai đoạn nghiên cứu tại Đức,Tự nộp trực tuyến,Theo call,Chưa rõ,Chưa rõ,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn (tuỳ ngành & trường Đức),PhD tại cơ sở Đức hoặc cotutelle,Cử nhân+ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & đề cương,Theo DAAD,HS online + thư mời (nếu cần),https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=57135739,,Có,,
Eiffel Excellence Scholarship Program (Doctorate),Ministry for Europe & Foreign Affairs (France),Chính phủ,"Trợ cấp hàng tháng (ví dụ **€2,100** từ 01/2026) + dịch vụ đi kèm; **không** cover học phí",Trường Pháp nộp hồ sơ thay ứng viên,Trường đề cử qua Campus France,Cuối năm–đầu năm,Theo call,Theo call,Không nêu,Có,Ứng viên quốc tế ngoài Pháp,Không,Không,PhD/cotutelle tại cơ sở Pháp,Cử nhân+ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc,Theo quy định Eiffel,HS qua trường chủ trì,Nộp qua Campus France (trường gửi),https://www.campusfrance.org/en/the-france-excellence-eiffel-scholarship-program,Stipend tiến sĩ cập nhật 2026,Có,
F.R.S.-FNRS Doctoral Fellowships (FRIA/FRESH/ASP),F.R.S.-FNRS (Belgium),Quỹ / Tổ chức,Hợp đồng/học bổng tiến sĩ; thời hạn tối đa thường 4 năm (theo scheme),"Các track: FRIA, FRESH, Aspirant…",Nộp trực tuyến,Theo call,Chưa rõ,Chưa rõ,Không nêu,Có,Mở toàn cầu (làm PhD tại BE-FR),Không,Theo lĩnh vực được tài trợ,PhD tại Wallonia-Brussels Federation,Cử nhân+ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & dự án mạnh,Theo FNRS,HS online + đề cương,Nộp qua cổng FNRS,https://www.frs-fnrs.be/en/financements/chercheur-doctorant,,Có,
FWO Doctoral Fellowships (Fundamental Research / SB),Research Foundation – Flanders (FWO),Quỹ / Tổ chức,Fellowship + stipend 4 năm (theo track),"Tracks: Fundamental Research, Strategic Basic Research",Nộp trực tuyến,Theo call,Chưa rõ,Chưa rõ,Không nêu,Có,Mở toàn cầu (PhD tại Flanders),Không,Theo lĩnh vực được tài trợ,PhD tại Flanders,Cử nhân+ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & đề cương,Theo FWO,HS online + đề cương,Nộp qua cổng FWO,https://www.fwo.be/en/fellowships-funding/phd-fellowships/phd-fellowship-fundamental-research/,Có track SB riêng,Có,
FPI/FPU Predoctoral Grants (Spain),Ministerio de Ciencia / Universidades (Spain),Chính phủ,Hợp đồng predoctoral đến 4 năm + lương theo quy định,FPI (AEI) & FPU (MICIU) hỗ trợ hoàn thành luận án,Nộp trực tuyến,Theo call,Chưa rõ,Chưa rõ,Không nêu,Có,Mở toàn cầu (theo điều kiện cơ sở tiếp nhận),Không,Theo lĩnh vực dự án/nhóm,PhD tại cơ sở TBN,Cử nhân+ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & phù hợp nhóm nghiên cứu,Theo call,HS online + chấp nhận từ nhóm,Theo hướng dẫn Bộ,https://www.ciencia.gob.es/Convocatorias/2024/FPU2024.html,FPI: AEI; FPU: MICIU – đều là hợp đồng 4 năm,Có,
MAECI Italian Government Scholarships,MAECI (Italy),Chính phủ,Trợ cấp ~€900/tháng + miễn/giảm học phí (tuỳ trường),Cho Master/PhD/NC – theo call năm,Tự nộp trực tuyến,Thường Q2,Theo call,Theo call,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn,PhD tại cơ sở Ý,Cử nhân+ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & ngoại ngữ (tuỳ chương trình),Theo MAECI,HS online + tài liệu,https://www.esteri.it/en/opportunita/borse-di-studio/per-cittadini-stranieri/borsestudio_stranieri/,,Có,,
Swiss Government Excellence Scholarships (PhD),SERI / FCS (Switzerland),Chính phủ,Stipend + miễn/giảm học phí (tuỳ trường) + BHYT cơ bản + vé máy bay (tuỳ nước),Qua Đại sứ quán Thuỵ Sĩ; có track PhD/Research,Nộp qua ĐSQ Thuỵ Sĩ tại nước sở tại,Q3–Q4,Theo country call,Theo country call,Không nêu,Có,Theo danh sách quốc gia đủ điều kiện,Theo FCS,Không,PhD tại cơ sở Thuỵ Sĩ,Cử nhân+ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Hồ sơ mạnh + thư chấp nhận,Theo SERI/FCS,HS qua ĐSQ,Nộp theo hướng dẫn SERI,https://www.sbfi.admin.ch/en/swiss-government-excellence-scholarships,,Có,
CYD Fellowships (Doctoral),CYD Campus (DDPS) & EPFL (Switzerland),Quỹ / Tổ chức,Lương + quỹ nghiên cứu & hội nghị 4 năm (có thể gia hạn 1 năm),Nghiên cứu an ninh mạng/cyber-defence tại CH; cần supervisor tại trường Thuỵ Sĩ,Tự nộp trực tuyến,Theo call,Chưa rõ,Chưa rõ,Không nêu,Có,Mở toàn cầu,Không,An ninh mạng/cyber-defence,PhD tại cơ sở Thuỵ Sĩ,Cử nhân+ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc & phù hợp chủ đề,Theo CYD,HS online + đề cương,https://www.epfl.ch/research/funding/epfl-programmes/cyd/cyd-phd/,,Có,,
Government of Ireland Postgraduate Scholarship (PhD),Irish Research Council / Research Ireland,Chính phủ,Gói tài trợ theo call (stipend + phí + chi phí nghiên cứu),Nộp qua HEI Ireland; có mốc applicant/supervisor/RO,Tự nộp trực tuyến,Thường Q3–Q4,Theo call (ví dụ 23/10/2025),Theo call,Không nêu,Có,Mở toàn cầu,Không,Không giới hạn,PhD tại HEI Ireland,Cử nhân+ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & tiềm năng nghiên cứu,Theo IRC,HS online + chấp nhận từ HEI,Nộp trên cổng IRC/Research Ireland,https://research.ie/funding/goipg/,Cơ quan đang chuyển đổi thành Research Ireland,Có,
Japanese Government (MEXT) Scholarship (Research),MEXT (Japan),Chính phủ,Miễn học phí + trợ cấp hàng tháng + vé máy bay (theo năm tuyển),Hai đường: Embassy/University Recommendation; lịch theo từng nước,Nộp qua ĐSQ Nhật/Trường chủ trì,Q2–Q3 (thường),Theo nước,Theo nước,Không nêu,Có,Ứng viên quốc tế,Theo từng call,Không,Đa ngành (Research Student/PhD),Cử nhân/ThS phù hợp (tuỳ khoa),Không nêu,Không nêu,Không bắt buộc,"Học thuật tốt, đề cương nghiên cứu",Theo hướng dẫn MEXT,Hồ sơ + đề cương + thư giới thiệu,Theo ĐSQ/Trường và Study in Japan,https://www.studyinjapan.go.jp/en/planning/scholarships/mext-scholarships/,Embassy route thường sơ tuyển 5–7 hằng năm,Có,
Global Korea Scholarship (GKS),NIIED (Korea),Chính phủ,"Học phí, trợ cấp sinh hoạt, vé máy bay, BHYT (tuỳ bậc)",Chi tiết thay đổi theo năm và bậc (UG/PG),Nộp online/qua ĐSQ/Trường,Q3–Q4 (UG) / Q1–Q2 (PG),Theo call,Theo call,~Nhiều suất toàn cầu,Có,Ứng viên quốc tế,Theo từng track,Không,Đa ngành (theo danh sách trường),Cử nhân/ThS phù hợp (đối với PhD),Không nêu,Không nêu,Không bắt buộc,Học thuật & hồ sơ cạnh tranh,Theo NIIED,Hồ sơ online + xác thực,Qua Study in Korea/NIIED,https://www.niied.go.kr/eng/main.do,Kiểm tra thông báo từng năm,Có,
China Government Scholarship (CGS),China Scholarship Council (CSC),Chính phủ,Miễn/giảm học phí + trợ cấp hàng tháng + ký túc xá/BHYT (tuỳ chương trình),Nhiều hạng mục (Type A/B/C); lịch theo CSC & trường tiếp nhận,Nộp qua ĐSQ Trung Quốc/trường/QĐ,Cuối năm–Q2,Theo call,Theo call,Không nêu,Có,Ứng viên quốc tế,Theo từng chương trình,Không,Đa ngành,ThS phù hợp (đối với PhD),Không nêu,Không nêu,Không bắt buộc,Học thuật & đề cương,Theo CSC,Hồ sơ + thư chấp nhận (nếu cần),Theo CSC/trường,https://yz.tsinghua.edu.cn/en/info/1027/1117.htm,Tham chiếu portal CSC chính thức,Có,
Siemens China Scholarship,Tsinghua University & Siemens Ltd.,Quỹ / Tổ chức,Full scholarship (học phí+stipend theo năm),Nghiên cứu PhD tại Tsinghua phối hợp Siemens trong 9–10 lĩnh vực,Nộp trực tuyến Tsinghua,Q4–Q1,Theo call,Theo call,Không nêu,Có,Mở toàn cầu,Không,STEM/Automation/Robotics… (theo bảng lĩnh vực),ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc & phù hợp chủ đề,Theo Tsinghua/SIEMENS,Hồ sơ online + đề cương,Qua cổng Tsinghua,https://yz.tsinghua.edu.cn/en/info/1027/1481.htm,Chương trình hợp tác công nghiệp,Có,,
Marie Skłodowska-Curie Actions (Doctoral Networks),European Commission (MSCA),Quỹ / Tổ chức,Hợp đồng nghiên cứu+tiền lương theo quy định EU (country correction),Mạng lưới tiến sĩ xuyên quốc gia; tuyển theo từng dự án,Nộp trực tiếp từng consortium,Q2–Q4 (tuỳ dự án),Theo dự án,Theo dự án,Không nêu,Có,Ứng viên toàn cầu,Theo call từng dự án,Không,Theo lĩnh vực dự án,Cử nhân+ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Tiềm năng nghiên cứu & tính di động,Theo grant agreement,Hồ sơ theo call,Trên cổng dự án/EC,https://marie-sklodowska-curie-actions.ec.europa.eu/actions/doctoral-networks,Là “việc làm tiến sĩ” có lương,Có,
Singapore International Graduate Award (SINGA),A*STAR + NTU/NUS/SMU/SUTD/SIT,Quỹ / Tổ chức,Miễn học phí + stipend hàng tháng (mức theo năm) + hỗ trợ ban đầu,Bond-free; bằng cấp do NTU/NUS/SMU/SUTD/SIT cấp,Nộp trực tuyến,Q2–Q3 (thường),Theo call,Theo call,Không nêu,Có,Mở toàn cầu,Không,Science/Engineering (chủ đạo),Cử nhân/ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật mạnh & research fit,Theo SINGA,Hồ sơ online + referees,Qua cổng A*STAR/SINGA,https://www.a-star.edu.sg/Scholarships/aga-faqs/faqs-scholarships-singa,Bond-free,Có,,
Aga Khan Foundation International Scholarship Programme (AKF-ISP),Aga Khan Foundation,Quỹ / Tổ chức,50% grant : 50% loan (mức theo năm),Ưu tiên Master; PhD chỉ xem xét trường hợp **xuất sắc** có khuyến nghị,Nộp qua văn phòng quốc gia/Qũy,Q2,Theo call,Theo call,Không nêu,Có,Chỉ các nước được liệt kê,Theo danh sách AKF,Không,PG (Master ưu tiên; PhD có thể),Cử nhân (thường),Không nêu,Không nêu,Kinh nghiệm/phục vụ cộng đồng,"Nhu cầu tài chính + thành tích, leadership",Theo AKF,Hồ sơ + phỏng vấn,Qua văn phòng AKF,https://the.akdn/en/what-we-do/developing-human-capacity/education/international-scholarships,Ghi chú 50:50 grant/loan,Có,
IDRC – International Doctoral Research Awards (IDRA),IDRC (Canada) qua Universities Canada,Quỹ / Tổ chức,Hỗ trợ nghiên cứu hiện trường (mức theo call),"Dành cho NCS đăng ký tại ĐH Canada, nghiên cứu tại Global South",Nộp trực tuyến,Q3–Q4 (tuỳ năm),Theo call,Theo call,Không nêu,Có,Phải là NCS tại đại học Canada,Canada-enrolled PhD,Không,Theo lĩnh vực phát triển,ThS phù hợp (đối với PhD),Không nêu,Không nêu,Không bắt buộc,Năng lực nghiên cứu & SDG fit,Theo IDRC,Hồ sơ online,Portal Universities Canada,https://univcan.ca/program-scholarship/idrc-international-doctoral-research-awards/,Yêu cầu đang học PhD tại Canada,Có,
HEC Paris – PhD Program Funding,HEC Paris,Trường,Fully-funded 5 năm (tuỳ thông báo) + hỗ trợ nghiên cứu,Gọi vốn nội bộ/ngoại bộ; nhiều track hỗ trợ nghiên cứu,Nộp trực tuyến,Q3–Q1,Theo vòng trường,Theo vòng trường,Không nêu,Có,Mở toàn cầu,Không,Kinh doanh/Quản trị (8 chuyên ngành),ThS phù hợp/hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc & research fit,Theo HEC,HS online + referees,Qua cổng HEC,https://www.hec.edu/en/phd-program/financing,,Có,,
Dublin City University (DCU) – PhD Scholarships (trường/khoa),Dublin City University,Trường,"Miễn học phí + stipend (ví dụ: €25,000/năm ở một số khoa)",Gọi theo từng khoa; số suất/điều kiện khác nhau,Nộp trực tuyến theo khoa,Q1–Q2 (thường),Theo call,Theo call,Không nêu,Có,Mở toàn cầu,Không,Theo ngành/khoa thông báo,ThS phù hợp (đối với PhD),Không nêu,Không nêu,Không bắt buộc,Học thuật & đề cương,Theo DCU,HS online,Trang học bổng khoa/DCU,https://www.dcu.ie/communications/phd-scholarships-call-2025,Ví dụ School of Communications €25k + fees,Có,,
CSIRO Industry PhD (iPhD),CSIRO + ĐH đối tác (Úc),Quỹ / Tổ chức,"~A$47,000/năm stipend (2025) + A$13,000/năm kinh phí dự án (4 năm)",Mô hình 3 bên: CSIRO – ĐH – doanh nghiệp; 60 ngày industry engagement,Nộp trực tuyến theo dự án,Q1–Q4 (tuỳ dự án),Theo call,Theo call,Không nêu,Có,Mở toàn cầu (tuỳ dự án),Theo từng dự án,Không,Theo lĩnh vực dự án,ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Applied research & industry fit,Theo CSIRO,HS online,https://research.csiro.au/iphd-opportunities/,Bao gồm top-up/khoản hỗ trợ dự án,Có,,
European University Institute (EUI) Doctoral Programme,EUI (Italy),Trường,Học bổng/tiền lương do quốc gia tài trợ + miễn học phí (4 năm),~150 suất/năm; theo ngành Kinh tế/Luật/Lịch sử/KHXH,Nộp trực tuyến,Q4–Q1,Theo call,Thường giữa 1/2026,~150/năm,Có,Theo quốc gia tài trợ,Theo danh sách EUI,Không,Economics/Law/History/SPS,ThS phù hợp (đa số),Không nêu,Không nêu,Không bắt buộc,Học thuật & đề cương,Theo EUI,HS online,https://www.eui.eu/en/services/academic-service/doctoral-programme,Chi tiết funding theo Grants Office,Có,,
EURAXESS – PhD Studentships/Jobs (cổng việc làm nghiên cứu),European Commission (EURAXESS),Quỹ / Tổ chức,Không phải học bổng đơn lẻ; là cổng đăng tuyển với lương/học bổng theo từng bài đăng,Liệt kê hàng nghìn vị trí PhD/postdoc tại 40+ quốc gia,Ứng tuyển theo từng tin,Q1–Q4,Theo bài đăng,Theo bài đăng,Không nêu,Có,Mở toàn cầu,Theo bài,Không,Đa ngành,N/A,Không nêu,Không nêu,Theo vị trí,Năng lực theo JD từng tin,Theo hợp đồng vị trí,Hồ sơ theo JD,Qua portal EURAXESS,https://euraxess.ec.europa.eu/jobs,**Nền tảng tuyển dụng**,Có,
University of Brighton – Funded PhD Studentships,University of Brighton,Trường,Fully-funded studentships (miễn học phí + stipend UKRI mức năm),Mở theo đợt và theo dự án/khoa,Nộp trực tuyến theo dự án,Q1–Q2 (thường),Theo call,Theo call,Không nêu,Có,Mở toàn cầu (tuỳ dự án),Theo call,Không,Đa ngành theo trường,ThS phù hợp/hoặc thành tích tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật & đề cương,Theo Brighton,HS online,https://www.brighton.ac.uk/research/postgraduate-research-degrees/funding-opportunities-and-studentships/index.aspx,,Có,,
Vingroup Science & Technology Scholarship (PhD),Vingroup (VinUniversity quản lý),Quỹ / Tổ chức,"Full scholarship (học phí, sinh hoạt, vé…) theo call",Dành cho công dân Việt Nam học PhD STEM ở ĐH đối tác/ưu tiên,Nộp trực tuyến (Track 1/2),Q2–Q4 (tuỳ Track),Theo call,Theo call,~tối đa 100/năm (Master+PhD),Có,Công dân Việt Nam,Việt Nam,Không,STEM (danh mục lĩnh vực ưu tiên),Cử nhân/ThS phù hợp,Không nêu,Không nêu,Ưu tiên đóng góp KH&CN VN,"Học thuật xuất sắc, AACC",Theo Vingroup,HS online + PV,https://scholarships.vinuni.edu.vn/,Theo thông báo cohort (2025–2026),Có,,
RMIT Vietnam PhD Scholarships,RMIT Vietnam,Trường,Miễn 100% học phí + ~14 triệu VND/tháng (tham chiếu trang RMIT VN),Có top-up/điều kiện theo năm,Nộp trực tuyến,Q2–Q3 (thường),Theo call,Theo call,Không nêu,Có,Công dân Việt Nam (ưu tiên),Việt Nam,Không,Theo ngành mở tại RMIT VN,ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & research fit,Theo RMIT VN,HS online,https://www.rmit.edu.vn/study-at-rmit/phd-programs,Chi tiết stipend nêu trên trang VN,Có,,
VIED – University of Waterloo Doctoral Scholarship,VIED (MOET VN) + University of Waterloo,Chính phủ,Học bổng VIED + gói hỗ trợ từ Waterloo (theo chính sách),Hỗ trợ toàn phần cho NCS VN theo MOU,Đề cử + nộp trực tuyến,Q2–Q3 (thường),Theo call,Theo call,Không nêu,Có,Công dân Việt Nam,Việt Nam,Không,Đa ngành tại Waterloo,ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & thư chấp nhận,Theo VIED & Waterloo,Hồ sơ theo hướng dẫn,https://uwaterloo.ca/future-graduate-students/admissions/information-international-students/international-agreements-and-sponsorships/vietnam-international-education-development-doctoral,Theo MOU VIED–Waterloo,Có,,
Monash – Vietnam Government Joint PhD (Project 89),Monash University + VIED,Trường,Gói tài trợ kết hợp (VIED + Monash/tuỳ trạng thái),Hỗ trợ học phí + stipend theo thoả thuận,Đề cử + nộp trực tuyến,Q2–Q3 (thường),Theo call,Theo call,Không nêu,Có,Công dân Việt Nam (đối tượng Đề án 89),Việt Nam,Không,Theo ngành Monash,ThS phù hợp,Không nêu,Không nêu,Không bắt buộc,Học thuật & research fit,Theo Monash/VIED,Hồ sơ online + xác nhận,https://www.monash.edu/graduate-research/study/scholarships/fees-scholarships/accordions/accordion-international-students,Ghi chú: trang Monash nêu thoả thuận đã hết hạn một số đợt; theo call mới,Chưa rõ,,
